X,Y,field_1,cat,x,y,z,slope,distance,label
-783700.264850261,816867.876563412,0,8,-783700.264850261039101,816867.876563412020914,176.000000000000000,0.000000000000000,956886.190357988001779,-1
-779700.35565931,816867.876563412,1,9,-779700.355659310007468,816867.876563412020914,176.000000000000000,0.000000000000000,953699.076784178847447,-1
-771700.537277408,816867.876563412,2,10,-771700.537277407944202,816867.876563412020914,176.000000000000000,0.000000000000000,947343.348645332502201,-1
-740701.241047537,814868.261763743,3,17,-740701.241047536954284,814868.261763743008487,198.000000000000000,0.179489000000000,921707.197563237743452,-1
-723701.626985996,813868.454363908,4,20,-723701.626985996030271,813868.454363908036612,282.000000000000000,0.253239600000000,907853.796423417166807,-1
-811699.629186918,812868.646964074,5,23,-811699.629186918027699,812868.646964073996060,176.000000000000000,0.000000000000000,977011.224147557048127,-1
-807699.719995967,812868.646964074,6,24,-807699.719995966996066,812868.646964073996060,176.000000000000000,0.000000000000000,973774.968892698991112,-1
-777700.401063834,812868.646964074,7,25,-777700.401063833967783,812868.646964073996060,176.000000000000000,0.000000000000000,949688.542743043042719,-1
-794700.015125376,810869.032164404,8,33,-794700.015125376055948,810869.032164404052310,176.000000000000000,0.000000000000000,962108.180806603515521,-1
-692702.330756125,810869.032164404,9,34,-692702.330756125040352,810869.032164404052310,282.000000000000000,0.432697200000000,882115.563581650145352,-1
-811699.629186918,803870.380365562,10,65,-811699.629186918027699,803870.380365562043153,176.000000000000000,0.000000000000000,971759.072582922759466,-1
-792700.0605299,802870.572965727,11,73,-792700.060529900016263,802870.572965726954862,176.000000000000000,0.000000000000000,955764.369486235314980,-1
-634703.647487336,800870.958166058,12,89,-634703.647487335954793,800870.958166057942435,247.000000000000000,0.172502900000000,829594.778881036210805,-1
-628703.783700909,800870.958166058,13,90,-628703.783700908999890,800870.958166057942435,242.000000000000000,0.101296400000000,824778.290547772310674,-1
-622703.919914483,800870.958166058,14,91,-622703.919914482976310,800870.958166057942435,243.000000000000000,0.308769600000000,819977.412312099826522,-1
